"DEST_CITY_NAME","Frequency","Proportion"
"Aberdeen, SD",58,0.000158063988662997
"Abilene, TX",187,0.000509620101378972
"Adak Island, AK",8,2.18019294707582e-05
"Akron, OH",138,0.000376083283370578
"Alamosa, CO",51,0.000138987300376083
"Albany, GA",90,0.000245271706546029
"Albany, NY",442,0.00120455660325939
"Albuquerque, NM",965,0.0026298577424102
"Alexandria, LA",241,0.00065678312530659
"Allentown/Bethlehem/Easton, PA",298,0.000812121872785742
"Alpena, MI",51,0.000138987300376083
"Amarillo, TX",264,0.000719463672535019
"Anchorage, AK",890,0.00242546465362185
"Appleton, WI",329,0.000896604349484929
"Arcata/Eureka, CA",66,0.000179865918133755
"Asheville, NC",473,0.00128903907995858
"Ashland, WV",36,9.81086826184117e-05
"Aspen, CO",550,0.00149888265111462
"Atlanta, GA",23011,0.062710524881452
"Atlantic City, NJ",161,0.000438763830599008
"Augusta, GA",294,0.000801220908050362
"Austin, TX",2653,0.00723006486074018
"Bakersfield, CA",176,0.00047964244835668
"Baltimore, MD",5043,0.0137433912901292
"Bangor, ME",133,0.000362457077451354
"Barrow, AK",30,8.17572355153431e-05
"Baton Rouge, LA",334,0.000910230555404153
"Beaumont/Port Arthur, TX",77,0.000209843571156047
"Belleville, IL",72,0.000196217365236823
"Bellingham, WA",45,0.000122635853273015
"Bemidji, MN",60,0.000163514471030686
"Bend/Redmond, OR",375,0.00102196544394179
"Bethel, AK",47,0.000128086335640704
"Billings, MT",360,0.000981086826184117
"Binghamton, NY",30,8.17572355153431e-05
"Birmingham, AL",895,0.00243909085954107
"Bismarck/Mandan, ND",335,0.000912955796587998
"Bloomington/Normal, IL",170,0.000463291001253611
"Boise, ID",1386,0.00377718428080885
"Boston, MA",4604,0.0125470104104213
"Bozeman, MT",610,0.00166239712214531
"Brainerd, MN",51,0.000138987300376083
"Bristol/Johnson City/Kingsport, TN",161,0.000438763830599008
"Brownsville, TX",142,0.000386984248105957
"Brunswick, GA",90,0.000245271706546029
"Buffalo, NY",802,0.00218564342944351
"Burbank, CA",925,0.00252084809505641
"Burlington, VT",247,0.000673134572409658
"Butte, MT",58,0.000158063988662997
"Cape Girardeau, MO",52,0.000141712541559928
"Casper, WY",170,0.000463291001253611
"Cedar City, UT",51,0.000138987300376083
"Cedar Rapids/Iowa City, IA",494,0.00134626914481932
"Champaign/Urbana, IL",88,0.00023982122417834
"Charleston, SC",1265,0.00344743009756363
"Charleston/Dunbar, WV",197,0.00053687251321742
"Charlotte Amalie, VI",449,0.0012236332915463
"Charlotte, NC",13522,0.036850711287949
"Charlottesville, VA",116,0.000316127977325993
"Chattanooga, TN",398,0.00108464599117022
"Cheyenne, WY",31,8.44824766991879e-05
"Chicago, IL",16568,0.0451517959339402
"Christiansted, VI",114,0.000310677494958304
"Cincinnati, OH",2103,0.00573118220962555
"Clarksburg/Fairmont, WV",62,0.000168964953398376
"Cleveland, OH",2077,0.00566032593884559
"Cody, WY",47,0.000128086335640704
"Cold Bay, AK",16,4.36038589415163e-05
"College Station/Bryan, TX",105,0.000286150324303701
"Colorado Springs, CO",612,0.001667847604513
"Columbia, MO",59,0.000160789229846841
"Columbia, SC",354,0.000964735379081049
"Columbus, GA",99,0.000269798877200632
"Columbus, MS",86,0.00023437074181065
"Columbus, OH",1927,0.00525153976126887
"Concord, NC",81,0.000220744535891426
"Cordova, AK",52,0.000141712541559928
"Corpus Christi, TX",237,0.000645882160571211
"Dallas, TX",3502,0.00954379462582438
"Dallas/Fort Worth, TX",19479,0.0530849730201123
"Dayton, OH",462,0.00125906142693628
"Daytona Beach, FL",271,0.000738540360821933
"Deadhorse, AK",41,0.000111734888537636
"Decatur, IL",52,0.000141712541559928
