"DEST","Frequency","Proportion"
"ABE",298,0.000812121872785742
"ABI",187,0.000509620101378972
"ABQ",965,0.0026298577424102
"ABR",58,0.000158063988662997
"ABY",90,0.000245271706546029
"ACK",11,2.99776530222925e-05
"ACT",90,0.000245271706546029
"ACV",66,0.000179865918133755
"ACY",161,0.000438763830599008
"ADK",8,2.18019294707582e-05
"ADQ",40,0.000109009647353791
"AEX",241,0.00065678312530659
"AGS",294,0.000801220908050362
"ALB",442,0.00120455660325939
"ALO",28,7.63067531476536e-05
"ALS",51,0.000138987300376083
"AMA",264,0.000719463672535019
"ANC",890,0.00242546465362185
"APN",51,0.000138987300376083
"ASE",550,0.00149888265111462
"ATL",23011,0.062710524881452
"ATW",329,0.000896604349484929
"ATY",49,0.000133536818008394
"AUS",2653,0.00723006486074018
"AVL",473,0.00128903907995858
"AVP",108,0.000294326047855235
"AZA",442,0.00120455660325939
"AZO",119,0.000324303700877528
"BDL",1095,0.00298413909631002
"BET",47,0.000128086335640704
"BFF",53,0.000144437782743773
"BFL",176,0.00047964244835668
"BGM",30,8.17572355153431e-05
"BGR",133,0.000362457077451354
"BHM",895,0.00243909085954107
"BIL",360,0.000981086826184117
"BIS",335,0.000912955796587998
"BJI",60,0.000163514471030686
"BLI",45,0.000122635853273015
"BLV",72,0.000196217365236823
"BMI",170,0.000463291001253611
"BNA",4398,0.0119856107265493
"BOI",1386,0.00377718428080885
"BOS",4604,0.0125470104104213
"BPT",77,0.000209843571156047
"BQK",90,0.000245271706546029
"BRD",51,0.000138987300376083
"BRO",142,0.000386984248105957
"BRW",30,8.17572355153431e-05
"BTM",58,0.000158063988662997
"BTR",334,0.000910230555404153
"BTV",247,0.000673134572409658
"BUF",802,0.00218564342944351
"BUR",925,0.00252084809505641
"BWI",5043,0.0137433912901292
"BZN",610,0.00166239712214531
"CAE",354,0.000964735379081049
"CAK",138,0.000376083283370578
"CDB",16,4.36038589415163e-05
"CDC",51,0.000138987300376083
"CDV",52,0.000141712541559928
"CGI",52,0.000141712541559928
"CHA",398,0.00108464599117022
"CHO",116,0.000316127977325993
"CHS",1265,0.00344743009756363
"CID",494,0.00134626914481932
"CIU",59,0.000160789229846841
"CKB",62,0.000168964953398376
"CLE",2077,0.00566032593884559
"CLL",105,0.000286150324303701
"CLT",13522,0.036850711287949
"CMH",1853,0.00504987191366436
"CMI",88,0.00023982122417834
"CMX",59,0.000160789229846841
"CNY",29,7.90319943314983e-05
"COD",47,0.000128086335640704
"COS",612,0.001667847604513
"COU",59,0.000160789229846841
"CPR",170,0.000463291001253611
"CRP",237,0.000645882160571211
"CRW",197,0.00053687251321742
"CSG",99,0.000269798877200632
"CVG",2103,0.00573118220962555
"CWA",113,0.000307952253774459
"CYS",31,8.44824766991879e-05
"DAB",271,0.000738540360821933
"DAL",3502,0.00954379462582438
"DAY",462,0.00125906142693628
"DCA",2613,0.00712105521338638
"DDC",53,0.000144437782743773
"DEC",52,0.000141712541559928
"DEN",17998,0.0490488908268382
"DFW",19479,0.0530849730201123
"DHN",101,0.000275249359568322
"DIK",30,8.17572355153431e-05
"DLH",119,0.000324303700877528
"DRO",279,0.000760342290292691
"DSM",862,0.00234915790047419
"DTW",9320,0.0253992478334333
"DVL",52,0.000141712541559928
"EAR",58,0.000158063988662997
"EAU",61,0.000166239712214531
"ECP",504,0.00137352155665776
"EGE",300,0.000817572355153431
"EKO",56,0.000152613506295307
"ELM",77,0.000209843571156047
"ELP",788,0.00214749005286968
"ERI",58,0.000158063988662997
"ESC",52,0.000141712541559928
"EUG",450,0.00122635853273015
"EVV",212,0.000577751130975091
"EWN",98,0.000267073636016787
"EWR",5066,0.0138060718373576
"EYW",683,0.00186133972856598
"FAI",93,0.000253447430097564
"FAR",443,0.00120728184444323
"FAT",673,0.00183408731672753
"FAY",242,0.000659508366490434
"FCA",224,0.000610454025181228
"FLG",163,0.000444214312966698
"FLL",6081,0.01657219163896
"FNT",190,0.000517795824930506
"FSD",501,0.00136534583310623
"FSM",87,0.000237095982994495
"FWA",391,0.00106556930288331
"GCC",55,0.000149888265111462
"GCK",57,0.000155338747479152
"GEG",1004,0.00273614214858015
"GFK",99,0.000269798877200632
"GGG",69,0.000188041641685289
"GJT",379,0.00103286640867717
"GNV",256,0.000697661743064261
"GPT",277,0.000754891807925001
