"DEST_STATE_ABR","Frequency","Proportion"
"AK",1800,0.00490543413092059
"AL",1818,0.00495448847222979
"AR",1413,0.00385076579277266
"AZ",12133,0.0330653512835886
"CA",34392,0.0937264947947893
"CO",20834,0.0567776748242219
"CT",1095,0.00298413909631002
"FL",36975,0.10076579277266
"GA",24537,0.0668692429279991
"HI",5617,0.0153076797296561
"IA",1439,0.00392162206355262
"ID",2050,0.00558674442688178
"IL",17443,0.0475363819698043
"IN",3121,0.00850547773477953
"KS",926,0.00252357333624026
"KY",3700,0.0100833923802256
"LA",3529,0.00961737613778819
"MA",4615,0.0125769880634436
"MD",5057,0.013781544666703
"ME",617,0.00168147381043222
"MI",11555,0.0314901618793263
"MN",9124,0.0248651005613997
"MO",5831,0.0158908813429989
"MS",808,0.00220199487654657
"MT",1843,0.00502261950182591
"NC",17750,0.0483730310132447
"ND",1322,0.00360276884504279
"NE",1618,0.00440944023546084
"NH",382,0.0010410421322287
"NJ",5310,0.0144710306862157
"NM",1140,0.00310677494958304
"NV",9554,0.0260369542704529
"NY",10257,0.0279527988226958
"OH",4641,0.0126478443342236
"OK",2156,0.00587561999236933
"OR",4126,0.0112443451245435
"PA",8243,0.0224641630784324
"PR",2090,0.00569575407423557
"RI",523,0.00142530113915081
"SC",3088,0.00841554477571265
"SD",989,0.00269526353082248
"TN",6853,0.0186760778328882
"TT",57,0.000155338747479152
"TX",42175,0.114937046928653
"UT",9172,0.0249959121382242
"VA",8290,0.0225922494140731
"VI",563,0.00153431078650461
"VT",247,0.000673134572409658
"WA",9895,0.026966261514144
"WI",2938,0.00800675859813594
"WV",324,0.000882978143565706
"WY",965,0.0026298577424102
