"ORIGIN_CITY_NAME","Frequency","Proportion"
"Aberdeen, SD",60,0.000163514471030686
"Abilene, TX",191,0.000520521066114351
"Adak Island, AK",7,1.90766882869134e-05
"Akron, OH",138,0.000376083283370578
"Alamosa, CO",51,0.000138987300376083
"Albany, GA",90,0.000245271706546029
"Albany, NY",444,0.00121000708562708
"Albuquerque, NM",960,0.00261623153649098
"Alexandria, LA",244,0.000664958848858124
"Allentown/Bethlehem/Easton, PA",301,0.000820297596337276
"Alpena, MI",52,0.000141712541559928
"Amarillo, TX",265,0.000722188913718864
"Anchorage, AK",893,0.00243364037717338
"Appleton, WI",329,0.000896604349484929
"Arcata/Eureka, CA",68,0.000185316400501444
"Asheville, NC",476,0.00129721480351011
"Ashland, WV",36,9.81086826184117e-05
"Aspen, CO",568,0.00154793699242383
"Atlanta, GA",22971,0.0626015152340982
"Atlantic City, NJ",163,0.000444214312966698
"Augusta, GA",295,0.000803946149234207
"Austin, TX",2654,0.00723279010192402
"Bakersfield, CA",176,0.00047964244835668
"Baltimore, MD",5050,0.0137624679784161
"Bangor, ME",133,0.000362457077451354
"Barrow, AK",30,8.17572355153431e-05
"Baton Rouge, LA",337,0.000918406278955688
"Beaumont/Port Arthur, TX",78,0.000212568812339892
"Belleville, IL",72,0.000196217365236823
"Bellingham, WA",45,0.000122635853273015
"Bemidji, MN",60,0.000163514471030686
"Bend/Redmond, OR",376,0.00102469068512563
"Bethel, AK",47,0.000128086335640704
"Billings, MT",363,0.000989262549735652
"Binghamton, NY",31,8.44824766991879e-05
"Birmingham, AL",896,0.00244181610072491
"Bismarck/Mandan, ND",335,0.000912955796587998
"Bloomington/Normal, IL",169,0.000460565760069766
"Boise, ID",1394,0.00379898621027961
"Boston, MA",4598,0.0125306589633183
"Bozeman, MT",611,0.00166512236332915
"Brainerd, MN",51,0.000138987300376083
"Bristol/Johnson City/Kingsport, TN",164,0.000446939554150542
"Brownsville, TX",143,0.000389709489289802
"Brunswick, GA",90,0.000245271706546029
"Buffalo, NY",799,0.00217746770589197
"Burbank, CA",926,0.00252357333624026
