"ORIGIN","Frequency","Proportion"
"ABE",301,0.000820297596337276
"ABI",191,0.000520521066114351
"ABQ",960,0.00261623153649098
"ABR",60,0.000163514471030686
"ABY",90,0.000245271706546029
"ACK",11,2.99776530222925e-05
"ACT",90,0.000245271706546029
"ACV",68,0.000185316400501444
"ACY",163,0.000444214312966698
"ADK",7,1.90766882869134e-05
"ADQ",40,0.000109009647353791
"AEX",244,0.000664958848858124
"AGS",295,0.000803946149234207
"ALB",444,0.00121000708562708
"ALO",28,7.63067531476536e-05
"ALS",51,0.000138987300376083
"AMA",265,0.000722188913718864
"ANC",893,0.00243364037717338
"APN",52,0.000141712541559928
"ASE",568,0.00154793699242383
"ATL",22971,0.0626015152340982
"ATW",329,0.000896604349484929
"ATY",49,0.000133536818008394
"AUS",2654,0.00723279010192402
"AVL",476,0.00129721480351011
"AVP",108,0.000294326047855235
"AZA",438,0.00119365563852401
"AZO",121,0.000329754183245217
"BDL",1093,0.00297868861394233
"BET",47,0.000128086335640704
"BFF",53,0.000144437782743773
"BFL",176,0.00047964244835668
"BGM",31,8.44824766991879e-05
"BGR",133,0.000362457077451354
"BHM",896,0.00244181610072491
"BIL",363,0.000989262549735652
"BIS",335,0.000912955796587998
"BJI",60,0.000163514471030686
"BLI",45,0.000122635853273015
"BLV",72,0.000196217365236823
"BMI",169,0.000460565760069766
"BNA",4397,0.0119828854853655
"BOI",1394,0.00379898621027961
"BOS",4598,0.0125306589633183
"BPT",78,0.000212568812339892
"BQK",90,0.000245271706546029
"BRD",51,0.000138987300376083
"BRO",143,0.000389709489289802
"BRW",30,8.17572355153431e-05
"BTM",57,0.000155338747479152
"BTR",337,0.000918406278955688
"BTV",247,0.000673134572409658
"BUF",799,0.00217746770589197
"BUR",926,0.00252357333624026
"BWI",5050,0.0137624679784161
"BZN",611,0.00166512236332915
"CAE",353,0.000962010137897204
"CAK",138,0.000376083283370578
"CDB",16,4.36038589415163e-05
"CDC",53,0.000144437782743773
"CDV",54,0.000147163023927618
"CGI",52,0.000141712541559928
"CHA",399,0.00108737123235406
"CHO",118,0.000321578459693683
"CHS",1264,0.00344470485637979
"CID",493,0.00134354390363547
"CIU",60,0.000163514471030686
"CKB",62,0.000168964953398376
"CLE",2072,0.00564669973292636
"CLL",108,0.000294326047855235
"CLT",13517,0.0368370850820298
"CMH",1852,0.00504714667248051
"CMI",88,0.00023982122417834
"CMX",60,0.000163514471030686
"CNY",29,7.90319943314983e-05
"COD",47,0.000128086335640704
"COS",612,0.001667847604513
"COU",59,0.000160789229846841
"CPR",171,0.000466016242437456
"CRP",238,0.000648607401755055
"CRW",197,0.00053687251321742
"CSG",100,0.000272524118384477
"CVG",2104,0.0057339074508094
"CWA",114,0.000310677494958304
"CYS",31,8.44824766991879e-05
"DAB",270,0.000735815119638088
"DAL",3511,0.00956832179647899
"DAY",461,0.00125633618575244
"DCA",2608,0.00710742900746716
"DDC",53,0.000144437782743773
"DEC",53,0.000144437782743773
"DEN",17971,0.0489753093148744
"DFW",19468,0.05305499536709
"DHN",102,0.000277974600752167
"DIK",30,8.17572355153431e-05
"DLH",117,0.000318853218509838
"DRO",282,0.000768518013844225
"DSM",863,0.00235188314165804
"DTW",9326,0.0254155992805363
"DVL",52,0.000141712541559928
"EAR",58,0.000158063988662997
"EAU",60,0.000163514471030686
"ECP",503,0.00137079631547392
"EGE",303,0.000825748078704965
"EKO",56,0.000152613506295307
"ELM",77,0.000209843571156047
"ELP",788,0.00214749005286968
"ERI",59,0.000160789229846841
"ESC",52,0.000141712541559928
"EUG",450,0.00122635853273015
"EVV",212,0.000577751130975091
"EWN",98,0.000267073636016787
"EWR",5091,0.0138742028669537
"EYW",680,0.00185316400501444
"FAI",94,0.000256172671281408
"FAR",440,0.0011991061208917
"FAT",674,0.00183681255791138
"FAY",242,0.000659508366490434
"FCA",226,0.000615904507548918
"FLG",163,0.000444214312966698
"FLL",6072,0.0165476644683054
"FNT",190,0.000517795824930506
"FSD",503,0.00137079631547392
"FSM",88,0.00023982122417834
"FWA",394,0.00107374502643484
"GCC",55,0.000149888265111462
"GCK",57,0.000155338747479152
"GEG",1001,0.00272796642502862
"GFK",97,0.000264348394832943
